
Param size = 182.449 MB
Start training !
Local time: 15:59:51
Epoch: 0, iter: -1
    Begin lr is 0.000300000000, 0.000300000000
                Iter            0            0.34614
                Iter           10            0.34157
                Iter           20            0.33371
                Iter           30            0.32773
                Iter           40            0.31971
                Iter           50            0.31390
                Iter           60            0.30745
                Iter           70            0.30181
                Iter           80            0.29560
                Iter           90            0.28984
                Iter          100            0.28376
                Iter          110            0.27855
                Iter          120            0.27414
                Iter          130            0.27060
                Iter          140            0.26614
                Iter          150            0.26231
                Iter          160            0.25905
                Iter          170            0.25749
                Iter          180            0.25379
                Iter          190            0.25041
                Iter          200            0.24770
                Iter          210            0.24592
                Iter          220            0.24392
                Iter          230            0.24292
                Iter          240            0.23873
                Iter          250            0.23509
                Iter          260            0.23265
                Iter          270            0.22973
                Iter          280            0.22729
                Iter          290            0.22604
                Iter          300            0.22349
                Iter          310            0.22279
                Iter          320            0.22071
                Iter          330            0.21858
                Iter          340            0.21637
                Iter          350            0.21521
                Iter          360            0.21468
                Iter          370            0.21464
                Iter          380            0.21309
                Iter          390            0.21095
                Iter          400            0.20984
                Iter          410            0.20791
                Iter          420            0.20726
                Iter          430            0.20592
                Iter          440            0.20513
                Iter          450            0.20561
                Iter          460            0.20405
                Iter          470            0.20321
                Iter          480            0.20255
                Iter          490            0.20211
========> pt_241:  11.202661693096161
========> pt_242:  17.768301367759705
========> pt_243:  7.5151534378528595
========> pt_244:  15.444499850273132
========> pt_245:  12.573406100273132
========> pt_246:  11.651457846164703
========> pt_247:  15.97748413681984
========> pt_248:  11.971950829029083
========> pt_249:  9.082440435886383
========> pt_250:  16.443484872579575
========> pt_251:  10.628093928098679
========> pt_252:  10.622859746217728
========> pt_253:  10.215458273887634
========> pt_254:  8.441132679581642
========> pt_255:  11.655753254890442
========> pt_256:  16.869744211435318
========> pt_257:  10.172723233699799
========> pt_258:  13.264618515968323
========> pt_259:  12.171360850334167
========> pt_260:  17.658381462097168
========> pt_261:  9.247394353151321
========> pt_262:  13.359038233757019
========> pt_263:  15.369217544794083
========> pt_264:  13.118238747119904
========> pt_265:  16.77651047706604
========> pt_266:  14.224286675453186
========> pt_267:  16.364697813987732
========> pt_268:  10.42986884713173
========> pt_269:  15.857832282781601
========> pt_270:  11.006950438022614
========> pt_271:  10.506957769393921
========> pt_272:  10.588578879833221
========> pt_273:  17.54432886838913
========> pt_274:  10.055365115404129
========> pt_275:  9.574254304170609
========> pt_276:  15.37409394979477
========> pt_277:  16.574434340000153
========> pt_278:  9.401154965162277
========> pt_279:  8.477593585848808
========> pt_280:  8.336030766367912
========> pt_281:  15.440519452095032
========> pt_282:  17.851147055625916
========> pt_283:  15.945847481489182
========> pt_284:  11.322627514600754
========> pt_285:  12.933466285467148
========> pt_286:  16.432444900274277
========> pt_287:  9.25351306796074
========> pt_288:  15.903581827878952
========> pt_289:  8.272481560707092
========> pt_290:  8.721509277820587
========> pt_291:  15.981328934431076
========> pt_292:  11.104960441589355
========> pt_293:  15.851241052150726
========> pt_294:  15.314716547727585
========> pt_295:  9.285685867071152
========> pt_296:  15.716626197099686
========> pt_297:  8.657289370894432
========> pt_298:  11.329943686723709
========> pt_299:  15.78637182712555
========> pt_300:  7.6105473935604095
========> pt_301:  7.247104495763779
========> pt_302:  8.698160946369171
========> pt_303:  15.485665053129196
========> pt_304:  16.566301435232162
========> pt_305:  12.101218849420547
========> pt_306:  16.050952523946762
========> pt_307:  16.048616021871567
========> pt_308:  10.742766112089157
========> pt_309:  15.437285900115967
========> pt_310:  9.175455123186111
========> pt_311:  16.059852093458176
========> pt_312:  16.990973204374313
========> pt_313:  15.287664234638214
========> pt_314:  16.59887582063675
========> pt_315:  16.064918339252472
========> pt_316:  9.48204591870308
========> pt_317:  7.870809733867645
========> pt_318:  10.403253585100174
========> pt_319:  16.350460797548294
========> pt_320:  15.716520845890045
========> pt_321:  9.868064224720001
========> pt_322:  16.483938694000244
========> pt_323:  13.507053554058075
========> pt_324:  16.06608137488365
========> pt_325:  11.482722759246826
========> pt_326:  18.450303375720978
========> pt_327:  16.83472380042076
========> pt_328:  15.091098695993423
========> pt_329:  12.777572572231293
========> pt_330:  14.96756136417389
========> pt_331:  12.903289943933487
========> pt_332:  16.401675045490265
========> pt_333:  14.968886077404022
========> pt_334:  15.507806539535522
========> pt_335:  11.19975671172142
========> pt_336:  9.3158058822155
========> pt_337:  17.337888479232788
========> pt_338:  17.011368572711945
========> pt_339:  16.33522868156433
========> pt_340:  8.356453776359558
===============================================> mean Dose score: 13.154798255860806
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.218604574054,     best is           0.218604574054
            Average val evaluation index is   -13.154798255861,     best is           -13.154798255861
    Train use time   1538.33306
    Train loader use time     80.40874
    Val use time     43.99854
    Total use time   1586.86866
    End lr is 0.000299971096, 0.000299971096
    time: 16:26:17
Epoch: 1, iter: 499
    Begin lr is 0.000299971096, 0.000299971096
========> pt_241:  9.033926725387573
========> pt_242:  14.971785843372345
========> pt_243:  6.08211413025856
========> pt_244:  12.829401195049286
========> pt_245:  10.5446557700634
========> pt_246:  9.60300475358963
========> pt_247:  13.554004728794098
========> pt_248:  10.24003118276596
========> pt_249:  7.195681110024452
========> pt_250:  13.670328110456467
========> pt_251:  8.576296716928482
========> pt_252:  8.624885007739067
========> pt_253:  8.523313403129578
========> pt_254:  6.635939180850983
========> pt_255:  9.59683284163475
========> pt_256:  14.296777695417404
========> pt_257:  8.702547624707222
========> pt_258:  10.905572324991226
========> pt_259:  10.209441781044006
========> pt_260:  15.712161809206009
========> pt_261:  7.055723592638969
========> pt_262:  10.962090641260147
========> pt_263:  13.132803291082382
========> pt_264:  10.70131927728653
========> pt_265:  13.888024389743805
========> pt_266:  11.796873807907104
========> pt_267:  13.757915645837784
========> pt_268:  8.256458267569542
========> pt_269:  13.15654382109642
========> pt_270:  8.969041854143143
========> pt_271:  9.080076813697815
========> pt_272:  8.628018945455551
========> pt_273:  14.595616310834885
========> pt_274:  8.286749348044395
========> pt_275:  7.859344705939293
========> pt_276:  12.741368263959885
========> pt_277:  13.750476390123367
========> pt_278:  7.898640185594559
========> pt_279:  6.924950927495956
========> pt_280:  6.822822317481041
========> pt_281:  12.770015448331833
========> pt_282:  14.777006059885025
========> pt_283:  13.591941595077515
========> pt_284:  9.17195349931717
========> pt_285:  10.86296558380127
========> pt_286:  13.835465610027313
========> pt_287:  7.396645322442055
========> pt_288:  13.25657844543457
========> pt_289:  6.573661491274834
========> pt_290:  6.778217032551765
========> pt_291:  13.686301857233047
========> pt_292:  9.00856003165245
========> pt_293:  13.213960230350494
========> pt_294:  12.78898075222969
========> pt_295:  7.428830116987228
========> pt_296:  12.992767542600632
========> pt_297:  7.000939920544624
========> pt_298:  9.284553080797195
========> pt_299:  13.204643428325653
========> pt_300:  6.252698078751564
========> pt_301:  6.047665849328041
========> pt_302:  7.458943873643875
========> pt_303:  12.696217447519302
========> pt_304:  13.827573657035828
========> pt_305:  9.815069437026978
========> pt_306:  13.472291827201843
========> pt_307:  13.472273051738739
========> pt_308:  8.80543664097786
========> pt_309:  12.833862453699112
========> pt_310:  7.274956852197647
========> pt_311:  13.427051305770874
========> pt_312:  14.115956425666809
========> pt_313:  12.72770181298256
========> pt_314:  13.979171961545944
========> pt_315:  13.533564507961273
========> pt_316:  7.40068256855011
========> pt_317:  6.515046060085297
========> pt_318:  8.849420249462128
========> pt_319:  13.534284234046936
========> pt_320:  12.943699955940247
========> pt_321:  8.183298632502556
========> pt_322:  13.818488419055939
========> pt_323:  11.503579169511795
========> pt_324:  13.39398980140686
========> pt_325:  9.484632760286331
========> pt_326:  15.388378947973251
========> pt_327:  14.197233319282532
========> pt_328:  12.657523304224014
========> pt_329:  12.010000348091125
========> pt_330:  13.579172194004059
========> pt_331:  10.525466203689575
========> pt_332:  13.598345071077347
========> pt_333:  12.351987063884735
========> pt_334:  12.845137119293213
========> pt_335:  9.208530187606812
========> pt_336:  7.69735261797905
========> pt_337:  14.363657981157303
========> pt_338:  14.118432700634003
========> pt_339:  13.64200845360756
========> pt_340:  6.65510892868042
===============================================> mean Dose score: 10.936034392565489
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.177767321959,     best is           0.177767321959
            Average val evaluation index is   -10.936034392565,     best is           -10.936034392565
    Train use time   1533.81461
    Train loader use time     72.21616
    Val use time     43.86804
    Total use time   1582.32942
    End lr is 0.000299884394, 0.000299884394
    time: 16:52:40
Epoch: 2, iter: 999
    Begin lr is 0.000299884394, 0.000299884394
========> pt_241:  7.733682617545128
========> pt_242:  12.910867929458618
========> pt_243:  5.687148794531822
========> pt_244:  11.255277842283249
========> pt_245:  9.101054221391678
========> pt_246:  8.26848030090332
========> pt_247:  11.826165616512299
========> pt_248:  9.010287374258041
========> pt_249:  6.224251165986061
========> pt_250:  11.774379760026932
========> pt_251:  7.3381926119327545
========> pt_252:  7.526969462633133
========> pt_253:  7.333312034606934
========> pt_254:  5.874558687210083
========> pt_255:  8.389365077018738
========> pt_256:  12.204998135566711
========> pt_257:  7.63200044631958
========> pt_258:  9.338321834802628
========> pt_259:  8.917408287525177
========> pt_260:  13.77055361866951
========> pt_261:  6.036377102136612
========> pt_262:  9.382432699203491
========> pt_263:  11.459263861179352
========> pt_264:  9.331006705760956
========> pt_265:  11.878793239593506
========> pt_266:  10.178532153367996
========> pt_267:  11.948124766349792
========> pt_268:  7.100760713219643
========> pt_269:  11.281117051839828
========> pt_270:  7.895539626479149
========> pt_271:  8.189308866858482
========> pt_272:  7.130575627088547
========> pt_273:  12.720461785793304
========> pt_274:  7.580482140183449
========> pt_275:  6.841328144073486
========> pt_276:  11.04816883802414
========> pt_277:  11.854402869939804
========> pt_278:  7.1086860448122025
========> pt_279:  6.083445623517036
========> pt_280:  5.895486027002335
========> pt_281:  11.13408014178276
========> pt_282:  12.713302075862885
========> pt_283:  12.091336697340012
========> pt_284:  7.854496985673904
========> pt_285:  9.452530890703201
========> pt_286:  11.92426010966301
========> pt_287:  6.489568799734116
========> pt_288:  11.349813342094421
========> pt_289:  5.858936980366707
========> pt_290:  5.858074352145195
========> pt_291:  12.028254270553589
========> pt_292:  7.498283162713051
========> pt_293:  11.465186476707458
========> pt_294:  11.113469898700714
========> pt_295:  6.4177849888801575
========> pt_296:  11.22475415468216
========> pt_297:  6.117984130978584
========> pt_298:  7.912873551249504
========> pt_299:  11.325111091136932
========> pt_300:  5.644691735506058
========> pt_301:  5.205724015831947
========> pt_302:  6.794458851218224
========> pt_303:  10.693833082914352
========> pt_304:  11.912185400724411
========> pt_305:  8.323573246598244
========> pt_306:  11.616946458816528
========> pt_307:  11.528700739145279
========> pt_308:  7.622142285108566
========> pt_309:  10.916084498167038
========> pt_310:  6.136242747306824
========> pt_311:  11.748171299695969
========> pt_312:  12.136043161153793
========> pt_313:  11.095424592494965
========> pt_314:  12.051787227392197
========> pt_315:  11.684088557958603
========> pt_316:  6.464539542794228
========> pt_317:  5.792347192764282
========> pt_318:  7.709939479827881
========> pt_319:  11.59257486462593
========> pt_320:  11.185737699270248
========> pt_321:  6.66229210793972
========> pt_322:  11.887004375457764
========> pt_323:  10.32438725233078
========> pt_324:  11.768400818109512
========> pt_325:  8.397936597466469
========> pt_326:  13.522138595581055
========> pt_327:  11.934083849191666
========> pt_328:  11.05517104268074
========> pt_329:  11.139762848615646
========> pt_330:  12.993889898061752
========> pt_331:  9.027320891618729
========> pt_332:  11.675961911678314
========> pt_333:  10.682126581668854
========> pt_334:  10.941042304039001
========> pt_335:  8.026392608880997
========> pt_336:  6.758512705564499
========> pt_337:  12.463673949241638
========> pt_338:  12.23599225282669
========> pt_339:  11.758945286273956
========> pt_340:  5.6692662090063095
===============================================> mean Dose score: 9.496712105721235
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.154007827416,     best is           0.154007827416
            Average val evaluation index is   -9.496712105721,     best is           -9.496712105721
    Train use time   1534.10888
    Train loader use time     72.44918
    Val use time     43.97710
    Total use time   1582.74765
    End lr is 0.000299739928, 0.000299739928
    time: 17:19:03
Epoch: 3, iter: 1499
    Begin lr is 0.000299739928, 0.000299739928
========> pt_241:  6.8786730617284775
========> pt_242:  10.874705463647842
========> pt_243:  6.134157627820969
========> pt_244:  9.869660139083862
========> pt_245:  8.698931783437729
========> pt_246:  7.93894849717617
========> pt_247:  10.41596457362175
========> pt_248:  7.600160390138626
========> pt_249:  6.186823323369026
========> pt_250:  10.308200716972351
========> pt_251:  7.046902775764465
========> pt_252:  7.068822085857391
========> pt_253:  7.1579403430223465
========> pt_254:  6.321169063448906
========> pt_255:  7.259724214673042
========> pt_256:  10.411857962608337
========> pt_257:  6.871436685323715
========> pt_258:  8.534418046474457
========> pt_259:  7.91642002761364
========> pt_260:  11.469716578722
========> pt_261:  6.385139673948288
========> pt_262:  8.351843878626823
========> pt_263:  10.145154595375061
========> pt_264:  8.675966784358025
========> pt_265:  10.407316386699677
========> pt_266:  8.954845517873764
========> pt_267:  10.848298817873001
========> pt_268:  7.1774595230817795
========> pt_269:  10.086257010698318
========> pt_270:  8.103630691766739
========> pt_271:  7.3998527973890305
========> pt_272:  6.3696154952049255
